iter	Passed	Remaining
1432	28735	1343
1433	28762	1323
1434	28790	1304
1435	28804	1283
1436	28812	1263
1437	28835	1243
1438	28841	1222
1439	28859	1202
1440	28885	1182
1441	28890	1162
1442	28910	1141
1443	28918	1121
1444	28934	1101
1445	28940	1080
1446	28952	1060
1447	28964	1040
1448	28974	1019
1449	28988	999
1450	28999	979
1451	29010	959
1452	29026	938
1453	29037	918
1454	29052	898
1455	29064	878
1456	29079	858
1457	29091	838
1458	29103	817
1459	29125	797
1460	29134	777
1461	29151	757
1462	29169	737
1463	29186	717
1464	29198	697
1465	29208	677
1466	29232	657
1467	29245	637
1468	29268	617
1469	29275	597
1470	29286	577
1471	29302	557
1472	29313	537
1473	29323	517
1474	29335	497
1475	29346	477
1476	29356	457
1477	29368	437
1478	29378	417
1479	29398	397
1480	29408	377
1481	29424	357
1482	29434	337
1483	29444	317
1484	29458	297
1485	29475	277
1486	29485	257
1487	29502	237
1488	29518	218
1489	29529	198
1490	29539	178
1491	29558	158
1492	29570	138
1493	29587	118
1494	29613	99
1495	29623	79
1496	29629	59
1497	29645	39
1498	29665	19
1499	29671	0
